vehicle,site_xn_route,direction,loc_leg,month,day,y2018,y2019,y2020,ratio,tis_data_request,lat,long,loc_desc,x7,x8,version_2,x10,revision_date,x12,x29_09_2016
cycle,6415,E,59485,3,29,NA,918,387,0.421568627,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,3,30,NA,110,553,5.027272727,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,4,5,NA,1008,149,0.14781746,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,4,6,NA,394,544,1.38071066,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,4,7,NA,516,544,1.054263566,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,4,14,NA,514,565,1.09922179,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,4,20,NA,373,362,0.970509383,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,4,26,NA,443,412,0.930022573,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,4,27,NA,260,564,2.169230769,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,W,59486,1,1,NA,540,510,0.944444444,D208,NA,NA,(BIKE PATH) NORTH BANK W BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,W,59486,1,3,NA,992,671,0.67641129,D208,NA,NA,(BIKE PATH) NORTH BANK W BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,W,59486,1,4,NA,490,357,0.728571429,D208,NA,NA,(BIKE PATH) NORTH BANK W BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,W,59486,1,5,NA,387,149,0.38501292,D208,NA,NA,(BIKE PATH) NORTH BANK W BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,W,59486,1,6,NA,747,612,0.819277108,D208,NA,NA,(BIKE PATH) NORTH BANK W BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,W,59486,1,12,NA,574,650,1.132404181,D208,NA,NA,(BIKE PATH) NORTH BANK W BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,W,59486,1,18,NA,966,589,0.609730849,D208,NA,NA,(BIKE PATH) NORTH BANK W BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,W,59486,1,19,NA,701,428,0.610556348,D208,NA,NA,(BIKE PATH) NORTH BANK W BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,W,59486,1,25,NA,643,565,0.878693624,D208,NA,NA,(BIKE PATH) NORTH BANK W BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,W,59486,1,26,NA,583,708,1.214408233,D208,NA,NA,(BIKE PATH) NORTH BANK W BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
